# Crossect News RSS Feed List
# Format: URL|Source Name
# World / Geopolitics
http://feeds.bbci.co.uk/news/world/rss.xml|BBC World
https://www.aljazeera.com/xml/rss/all.xml|Al Jazeera
http://rss.cnn.com/rss/cnn_topstories.rss|CNN Top Stories
https://abcnews.go.com/ABC_365_Top_Stories/rss|ABC News US
# Australia
https://www.theguardian.com/australia-news/rss|The Guardian Australia
# Philippines
https://newsinfo.inquirer.net/feed|Philippine Daily Inquirer
https://world.rappler.com/feed|Rappler World
# Business / Tech
https://feeds.a.dj.com/rss/RSSWorldNews.xml|Wall Street Journal
https://www.theguardian.com/technology/rss|The Guardian Technology
https://techcrunch.com/feed/|TechCrunch
https://www.theverge.com/rss/index.xml|The Verge
